"name","number","strictness_rate","percent"
"stringr",1,"(40,50〉",0.196078431372549
"stringr",1,"(50,60〉",0.196078431372549
"stringr",2,"(60,70〉",0.392156862745098
"stringr",2,"(70,80〉",0.392156862745098
"stringr",3,"(80,90〉",0.588235294117647
"stringr",0,"(90,100)",0
"stringr",249,"100",48.8235294117647
"stringr",210,NA,41.1764705882353
"tibble",101,"0",13.0490956072351
"tibble",3,"(0,10〉",0.387596899224806
"tibble",4,"(10,20〉",0.516795865633075
"tibble",2,"(20,30〉",0.258397932816537
"tibble",1,"(30,40〉",0.129198966408269
"tibble",3,"(40,50〉",0.387596899224806
"tibble",0,"(50,60〉",0
"tibble",1,"(60,70〉",0.129198966408269
"tibble",2,"(70,80〉",0.258397932816537
"tibble",6,"(80,90〉",0.775193798449612
"tibble",6,"(90,100)",0.775193798449612
"tibble",325,"100",41.9896640826873
"tibble",330,NA,42.6356589147287
"tidyr",41,"0",10.6217616580311
"tidyr",0,"(0,10〉",0
"tidyr",1,"(10,20〉",0.259067357512953
"tidyr",2,"(20,30〉",0.518134715025907
"tidyr",0,"(30,40〉",0
"tidyr",2,"(40,50〉",0.518134715025907
"tidyr",2,"(50,60〉",0.518134715025907
"tidyr",1,"(60,70〉",0.259067357512953
"tidyr",1,"(70,80〉",0.259067357512953
"tidyr",2,"(80,90〉",0.518134715025907
"tidyr",0,"(90,100)",0
"tidyr",148,"100",38.3419689119171
"tidyr",188,NA,48.7046632124352
"viridis",137,"0",12.6267281105991
"viridis",8,"(0,10〉",0.737327188940092
"viridis",5,"(10,20〉",0.460829493087558
"viridis",1,"(20,30〉",0.0921658986175115
"viridis",2,"(30,40〉",0.184331797235023
"viridis",11,"(40,50〉",1.01382488479263
"viridis",4,"(50,60〉",0.368663594470046
"viridis",5,"(60,70〉",0.460829493087558
"viridis",1,"(70,80〉",0.0921658986175115
"viridis",8,"(80,90〉",0.737327188940092
"viridis",7,"(90,100)",0.645161290322581
"viridis",464,"100",42.7649769585253
"viridis",446,NA,41.1059907834101
"xml2",77,"0",13.5087719298246
"xml2",2,"(0,10〉",0.350877192982456
"xml2",0,"(10,20〉",0
"xml2",3,"(20,30〉",0.526315789473684
"xml2",3,"(30,40〉",0.526315789473684
"xml2",4,"(40,50〉",0.701754385964912
"xml2",0,"(50,60〉",0
"xml2",2,"(60,70〉",0.350877192982456
"xml2",4,"(70,80〉",0.701754385964912
"xml2",6,"(80,90〉",1.05263157894737
"xml2",0,"(90,100)",0
"xml2",243,"100",42.6315789473684
"xml2",229,NA,40.1754385964912
"xtable",394,"0",13.6521136521137
"xtable",21,"(0,10〉",0.727650727650728
"xtable",14,"(10,20〉",0.485100485100485
"xtable",5,"(20,30〉",0.173250173250173
"xtable",6,"(30,40〉",0.207900207900208
"xtable",12,"(40,50〉",0.415800415800416
"xtable",6,"(50,60〉",0.207900207900208
"xtable",8,"(60,70〉",0.277200277200277
"xtable",11,"(70,80〉",0.381150381150381
"xtable",12,"(80,90〉",0.415800415800416
"xtable",30,"(90,100)",1.03950103950104
"xtable",1010,"100",34.996534996535
"xtable",1377,NA,47.7130977130977
"xts",114,"0",13.0884041331803
"xts",4,"(0,10〉",0.459242250287026
"xts",5,"(10,20〉",0.574052812858783
"xts",3,"(20,30〉",0.34443168771527
"xts",4,"(30,40〉",0.459242250287026
"xts",8,"(40,50〉",0.918484500574053
"xts",2,"(50,60〉",0.229621125143513
"xts",5,"(60,70〉",0.574052812858783
"xts",5,"(70,80〉",0.574052812858783
"xts",3,"(80,90〉",0.34443168771527
"xts",2,"(90,100)",0.229621125143513
"xts",335,"100",38.4615384615385
"xts",390,NA,44.7761194029851
"zoo",287,"0",15.2903569525839
"zoo",12,"(0,10〉",0.639318060735216
"zoo",11,"(10,20〉",0.586041555673948
"zoo",8,"(20,30〉",0.426212040490144
"zoo",8,"(30,40〉",0.426212040490144
"zoo",10,"(40,50〉",0.53276505061268
"zoo",9,"(50,60〉",0.479488545551412
"zoo",8,"(60,70〉",0.426212040490144
"zoo",7,"(70,80〉",0.372935535428876
"zoo",18,"(80,90〉",0.958977091102824
"zoo",19,"(90,100)",1.01225359616409
"zoo",723,"100",38.5189131592968
"zoo",783,NA,41.7155034629728
